Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 17 ${websiteName},3,6890,210,20370,20370,20370,90,20370,"0,000%",",13859","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 71 ${websiteName},3,7063,215,20865,20865,20865,111,20865,"0,000%",",13484","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 117 ${websiteName},2,191,130,252,252,252,130,252,"0,000%","2,80899","1,46","1,24"
http://20.50.171.10:9966/petclinic/api/owners 79 ${websiteName},3,6769,121,20080,20080,20080,107,20080,"0,000%",",14019","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 47 ${websiteName},3,3752,184,10968,10968,10968,105,10968,"0,000%",",24313","0,13","0,11"
http://20.50.171.10:9966/petclinic/api/owners 91 ${websiteName},3,6484,121,19223,19223,19223,108,19223,"0,000%",",14594","0,08","0,06"
http://20.50.171.10:9966/petclinic/api/owners 99 ${websiteName},3,6682,238,19703,19703,19703,106,19703,"0,000%",",14227","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 92 ${websiteName},3,7115,117,21127,21127,21127,101,21127,"0,000%",",13357","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 84 ${websiteName},3,7138,131,21174,21174,21174,111,21174,"0,000%",",13334","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 57 ${websiteName},3,3933,365,11341,11341,11341,95,11341,"0,000%",",23557","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 175 ${websiteName},2,2299,93,4506,4506,4506,93,4506,"0,000%",",38484","0,20","0,17"
http://20.50.171.10:9966/petclinic/api/owners 87 ${websiteName},3,7182,245,21172,21172,21172,129,21172,"0,000%",",13333","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 106 ${websiteName},2,175,110,241,241,241,110,241,"0,000%","2,86944","1,49","1,26"
http://20.50.171.10:9966/petclinic/api/owners 80 ${websiteName},3,3761,244,10899,10899,10899,140,10899,"0,000%",",24556","0,13","0,11"
http://20.50.171.10:9966/petclinic/api/owners 151 ${websiteName},2,109,107,112,112,112,107,112,"0,000%","2,81690","1,46","1,24"
http://20.50.171.10:9966/petclinic/api/owners 173 ${websiteName},2,5073,94,10052,10052,10052,94,10052,"0,000%",",18563","0,10","0,08"
http://20.50.171.10:9966/petclinic/api/owners 189 ${websiteName},2,10691,94,21288,21288,21288,94,21288,"0,000%",",09029","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 73 ${websiteName},3,7065,208,20870,20870,20870,118,20870,"0,000%",",13487","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 76 ${websiteName},3,7026,123,20856,20856,20856,100,20856,"0,000%",",13496","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 123 ${websiteName},2,173,114,232,232,232,114,232,"0,000%","2,91545","1,51","1,28"
