Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 42 Pet clinic,1,49,49,49,49,49,49,49,"0,000%","20,40816","8,09","6,72"
http://20.50.171.10:9966/petclinic/api/pettypes 43 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 48 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","133,21","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes 44 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","7,93","6,58"
http://20.50.171.10:9966/petclinic/api/pettypes 49 ${websiteName},1,138,138,138,138,138,138,138,"0,000%","7,24638","127,62","1,84"
http://20.50.171.10:9966/petclinic/api/pettypes 45 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 50 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","129,70","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 46 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 47 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 51 ${websiteName},1,142,142,142,142,142,142,142,"0,000%","7,04225","124,22","1,79"
http://20.50.171.10:9966/petclinic/api/pettypes 52 ${websiteName},1,138,138,138,138,138,138,138,"0,000%","7,24638","128,21","1,84"
http://20.50.171.10:9966/petclinic/api/pettypes 48 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 54 ${websiteName},1,137,137,137,137,137,137,137,"0,000%","7,29927","129,55","1,85"
