Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes/1 26 Pet clinic,2,62,44,80,80,80,44,80,"0,000%","16,00000","4,91","4,72"
http://20.50.171.10:9966/petclinic/api/pettypes 29 ${websiteName},1,153,153,153,153,153,153,153,"0,000%","6,53595","97,57","1,66"
http://20.50.171.10:9966/petclinic/api/pettypes/1 25 Pet clinic,2,61,45,78,78,78,45,78,"0,000%","16,12903","4,95","4,76"
http://20.50.171.10:9966/petclinic/api/pettypes 30 ${websiteName},1,201,201,201,201,201,201,201,"0,000%","4,97512","74,27","1,26"
http://20.50.171.10:9966/petclinic/api/pettypes 21 Pet clinic,1,109,109,109,109,109,109,109,"0,000%","9,17431","136,95","2,33"
http://20.50.171.10:9966/petclinic/api/pettypes/1 27 Pet clinic,2,74,54,95,95,95,54,95,"0,000%","13,42282","4,12","3,96"
http://20.50.171.10:9966/petclinic/api/pettypes 20 Pet clinic,1,98,98,98,98,98,98,98,"0,000%","10,20408","152,32","2,59"
http://20.50.171.10:9966/petclinic/api/pettypes/1 28 Pet clinic,2,86,80,93,93,93,80,93,"0,000%","11,49425","3,53","3,39"
http://20.50.171.10:9966/petclinic/api/pettypes 31 ${websiteName},1,193,193,193,193,193,193,193,"0,000%","5,18135","77,35","1,32"
http://20.50.171.10:9966/petclinic/api/pettypes/1 29 Pet clinic,2,81,80,82,82,82,80,82,"0,000%","12,26994","3,77","3,62"
http://20.50.171.10:9966/petclinic/api/pettypes 32 ${websiteName},1,173,173,173,173,173,173,173,"0,000%","5,78035","86,29","1,47"
http://20.50.171.10:9966/petclinic/api/pettypes 19 Pet clinic,1,130,130,130,130,130,130,130,"0,000%","7,69231","114,83","1,95"
http://20.50.171.10:9966/petclinic/api/pettypes 33 ${websiteName},1,193,193,193,193,193,193,193,"0,000%","5,18135","77,35","1,32"
http://20.50.171.10:9966/petclinic/api/pettypes/1 30 Pet clinic,2,67,55,79,79,79,55,79,"0,000%","14,81481","4,55","4,37"
http://20.50.171.10:9966/petclinic/api/pettypes 34 ${websiteName},1,176,176,176,176,176,176,176,"0,000%","5,68182","84,82","1,44"
http://20.50.171.10:9966/petclinic/api/pettypes/1 31 Pet clinic,2,65,50,81,81,81,50,81,"0,000%","15,15152","4,65","4,47"
http://20.50.171.10:9966/petclinic/api/pettypes/1 32 Pet clinic,2,66,50,82,82,82,50,82,"0,000%","15,15152","4,65","4,47"
http://20.50.171.10:9966/petclinic/api/pettypes 22 Pet clinic,1,193,193,193,193,193,193,193,"0,000%","5,18135","77,35","1,32"
http://20.50.171.10:9966/petclinic/api/pettypes 24 Pet clinic,1,128,128,128,128,128,128,128,"0,000%","7,81250","116,62","1,98"
http://20.50.171.10:9966/petclinic/api/pettypes 23 Pet clinic,1,131,131,131,131,131,131,131,"0,000%","7,63359","113,95","1,94"
http://20.50.171.10:9966/petclinic/api/pettypes/1 33 Pet clinic,2,72,63,81,81,81,63,81,"0,000%","13,79310","4,24","4,07"
http://20.50.171.10:9966/petclinic/api/pettypes/1 34 Pet clinic,2,69,60,79,79,79,60,79,"0,000%","14,38849","4,42","4,24"
http://20.50.171.10:9966/petclinic/api/pettypes 36 ${websiteName},1,217,217,217,217,217,217,217,"0,000%","4,60829","68,79","1,17"
http://20.50.171.10:9966/petclinic/api/pettypes 26 Pet clinic,1,130,130,130,130,130,130,130,"0,000%","7,69231","114,83","1,95"
http://20.50.171.10:9966/petclinic/api/pettypes 38 ${websiteName},1,186,186,186,186,186,186,186,"0,000%","5,37634","80,26","1,37"
http://20.50.171.10:9966/petclinic/api/pettypes 25 Pet clinic,1,133,133,133,133,133,133,133,"0,000%","7,51880","112,24","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 37 ${websiteName},1,208,208,208,208,208,208,208,"0,000%","4,80769","71,77","1,22"
http://20.50.171.10:9966/petclinic/api/pettypes 39 ${websiteName},1,169,169,169,169,169,169,169,"0,000%","5,91716","88,33","1,50"
http://20.50.171.10:9966/petclinic/api/pettypes 35 ${websiteName},1,251,251,251,251,251,251,251,"0,000%","3,98406","59,47","1,01"
http://20.50.171.10:9966/petclinic/api/pettypes 40 ${websiteName},1,152,152,152,152,152,152,152,"0,000%","6,57895","98,21","1,67"
http://20.50.171.10:9966/petclinic/api/pettypes 27 Pet clinic,1,122,122,122,122,122,122,122,"0,000%","8,19672","122,36","2,08"
http://20.50.171.10:9966/petclinic/api/pettypes 28 Pet clinic,1,108,108,108,108,108,108,108,"0,000%","9,25926","138,22","2,35"
